experiment,class_idx,class_name,precision,recall,f1,support,overall_accuracy,overall_accuracy_top5,overall_loss
EfficientNetB2_Frozen_results,0,Corn___Common_Rust,0.0,0.0,0.0,120,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,1,Corn___Gray_Leaf_Spot,0.0,0.0,0.0,52,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,2,Corn___Healthy,0.0,0.0,0.0,117,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,3,Corn___Northern_Leaf_Blight,0.008403361344537815,0.010101010101010102,0.009174311926605505,99,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,4,Potato___Early_Blight,0.0,0.0,0.0,100,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,5,Potato___Healthy,0.0,0.0,0.0,16,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,6,Potato___Late_Blight,0.0,0.0,0.0,100,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,7,Rice___Brown_Spot,0.0,0.0,0.0,62,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,8,Rice___Healthy,0.0,0.0,0.0,150,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,9,Rice___Leaf_Blast,0.08333333333333333,0.010101010101010102,0.01801801801801802,99,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,10,Rice___Neck_Blast,0.018691588785046728,0.02,0.01932367149758454,100,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,12,Sugarcane__Healthy,0.0,0.0,0.0,10,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,13,Sugarcane__Red Rot,0.0,0.0,0.0,10,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,14,Wheat___Brown_Rust,0.9880952380952381,0.9120879120879121,0.9485714285714287,91,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,15,Wheat___Healthy,0.5707070707070707,1.0,0.7266881028938906,113,21.758569299552907,47.83904619970194,11.073260491024412
EfficientNetB2_Frozen_results,16,Wheat___Yellow_Rust,1.0,0.989247311827957,0.9945945945945946,93,21.758569299552907,47.83904619970194,11.073260491024412
