Layer,Operator,Resolution,Channels,Params
conv1,Conv2d,112 × 112,64,0
bn1,BatchNorm2d,112 × 112,64,0
relu,ReLU,112 × 112,64,0
maxpool,MaxPool2d,56 × 56,64,0
layer1.0.conv1,Conv2d,56 × 56,64,0
layer1.0.bn1,BatchNorm2d,56 × 56,64,0
layer1.0.relu,ReLU,56 × 56,64,0
layer1.0.conv2,Conv2d,56 × 56,64,0
layer1.0.bn2,BatchNorm2d,56 × 56,64,0
layer1.0.relu,ReLU,56 × 56,64,0
layer1.1.conv1,Conv2d,56 × 56,64,0
layer1.1.bn1,BatchNorm2d,56 × 56,64,0
layer1.1.relu,ReLU,56 × 56,64,0
layer1.1.conv2,Conv2d,56 × 56,64,0
layer1.1.bn2,BatchNorm2d,56 × 56,64,0
layer1.1.relu,ReLU,56 × 56,64,0
layer2.0.conv1,Conv2d,28 × 28,128,0
layer2.0.bn1,BatchNorm2d,28 × 28,128,0
layer2.0.relu,ReLU,28 × 28,128,0
layer2.0.conv2,Conv2d,28 × 28,128,0
layer2.0.bn2,BatchNorm2d,28 × 28,128,0
layer2.0.downsample.0,Conv2d,28 × 28,128,0
layer2.0.downsample.1,BatchNorm2d,28 × 28,128,0
layer2.0.relu,ReLU,28 × 28,128,0
layer2.1.conv1,Conv2d,28 × 28,128,0
layer2.1.bn1,BatchNorm2d,28 × 28,128,0
layer2.1.relu,ReLU,28 × 28,128,0
layer2.1.conv2,Conv2d,28 × 28,128,0
layer2.1.bn2,BatchNorm2d,28 × 28,128,0
layer2.1.relu,ReLU,28 × 28,128,0
layer3.0.conv1,Conv2d,14 × 14,256,0
layer3.0.bn1,BatchNorm2d,14 × 14,256,0
layer3.0.relu,ReLU,14 × 14,256,0
layer3.0.conv2,Conv2d,14 × 14,256,0
layer3.0.bn2,BatchNorm2d,14 × 14,256,0
layer3.0.downsample.0,Conv2d,14 × 14,256,0
layer3.0.downsample.1,BatchNorm2d,14 × 14,256,0
layer3.0.relu,ReLU,14 × 14,256,0
layer3.1.conv1,Conv2d,14 × 14,256,0
layer3.1.bn1,BatchNorm2d,14 × 14,256,0
layer3.1.relu,ReLU,14 × 14,256,0
layer3.1.conv2,Conv2d,14 × 14,256,0
layer3.1.bn2,BatchNorm2d,14 × 14,256,0
layer3.1.relu,ReLU,14 × 14,256,0
layer4.0.conv1,Conv2d,7 × 7,512,1179648
layer4.0.bn1,BatchNorm2d,7 × 7,512,1024
layer4.0.relu,ReLU,7 × 7,512,0
layer4.0.conv2,Conv2d,7 × 7,512,2359296
layer4.0.bn2,BatchNorm2d,7 × 7,512,1024
layer4.0.downsample.0,Conv2d,7 × 7,512,131072
layer4.0.downsample.1,BatchNorm2d,7 × 7,512,1024
layer4.0.relu,ReLU,7 × 7,512,0
layer4.1.conv1,Conv2d,7 × 7,512,2359296
layer4.1.bn1,BatchNorm2d,7 × 7,512,1024
layer4.1.relu,ReLU,7 × 7,512,0
layer4.1.conv2,Conv2d,7 × 7,512,2359296
layer4.1.bn2,BatchNorm2d,7 × 7,512,1024
layer4.1.relu,ReLU,7 × 7,512,0
avgpool,AdaptiveAvgPool2d,1 × 1,512,0
fc,Linear,-,17,8721
