class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.0,0.0,0.0,120
1,Corn___Gray_Leaf_Spot,0.053515215110178385,0.9807692307692307,0.10149253731343283,52
2,Corn___Healthy,0.0,0.0,0.0,117
3,Corn___Northern_Leaf_Blight,0.0,0.0,0.0,99
4,Potato___Early_Blight,0.0,0.0,0.0,100
5,Potato___Healthy,0.0,0.0,0.0,16
6,Potato___Late_Blight,0.0,0.0,0.0,100
7,Rice___Brown_Spot,0.0,0.0,0.0,62
8,Rice___Healthy,0.0,0.0,0.0,150
9,Rice___Leaf_Blast,0.0,0.0,0.0,99
10,Rice___Neck_Blast,0.0,0.0,0.0,100
11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10
12,Sugarcane__Healthy,0.0,0.0,0.0,10
13,Sugarcane__Red Rot,0.0,0.0,0.0,10
14,Wheat___Brown_Rust,0.0,0.0,0.0,91
15,Wheat___Healthy,0.0,0.0,0.0,113
16,Wheat___Yellow_Rust,0.0,0.0,0.0,93
